customer_id,customer_name,region,housing_type,readings,total_kwh,mean_baseline_kwh,detection_coverage,spikes,fault_spikes,excess_kwh,excess_cost_gbp,max_excess_pct,median_alert_latency_min,resolved,spike_rate_pct,unresolved,resolution_rate_pct,priority_score
CUST006,Hilary Reynolds,Leeds,Flat,336,248.77,0.7344642857142857,82.44047619047619,11,9,2.38,0.681156,73.6842105263158,16.6,7,3.273809523809524,4,63.63636363636363,46
CUST008,Miss Tracy Lamb,London,Detached,336,248.38,0.7429761904761905,81.84523809523809,7,6,1.3699999999999999,0.392094,65.71428571428571,18.0,4,2.083333333333333,3,57.14285714285714,31
CUST020,Joseph Nelson-White,Glasgow,Detached,336,252.68,0.7541071428571429,80.95238095238095,10,6,2.08,0.595296,70.73170731707317,20.9,9,2.976190476190476,1,90.0,30
CUST011,Alan Thompson,Leeds,Detached,336,247.58,0.739702380952381,83.63095238095238,8,5,1.5399999999999998,0.440748,62.857142857142854,11.2,6,2.380952380952381,2,75.0,27
CUST005,George Price,Leeds,Detached,336,249.93,0.7484523809523809,79.16666666666666,8,3,1.59,0.455058,70.00000000000001,11.0,4,2.380952380952381,4,50.0,25
CUST013,Ms Jacqueline Baker,Manchester,Flat,336,244.38,0.7247023809523809,80.95238095238095,6,4,1.02,0.291924,47.499999999999986,7.9,4,1.7857142857142856,2,66.66666666666666,22
CUST014,Miss Charlotte Robertson,Leeds,Flat,336,249.87,0.7412797619047619,80.65476190476191,6,4,1.5,0.4293,60.52631578947367,13.0,4,1.7857142857142856,2,66.66666666666666,22
CUST018,Ms Marie Morrison,Manchester,Flat,336,244.25,0.7315476190476191,81.25,7,3,1.52,0.435024,96.66666666666666,10.0,4,2.083333333333333,3,57.14285714285714,22
CUST001,Shirley Thomas-Cox,London,Detached,336,248.96,0.7342559523809524,81.54761904761905,7,3,1.25,0.374922,68.57142857142857,15.7,4,2.083333333333333,3,57.14285714285714,22
CUST015,Frederick Daniels,London,Detached,336,252.93,0.7492559523809523,81.54761904761905,4,3,0.74,0.21178799999999998,57.57575757575757,13.4,1,1.1904761904761905,3,25.0,19
CUST004,Samuel Ward,London,Semi-Detached,336,245.34,0.7341964285714285,81.25,6,3,0.9800000000000001,0.28047600000000006,54.83870967741935,11.5,5,1.7857142857142856,1,83.33333333333334,17
CUST012,Sally Williams-Wilson,Leeds,Flat,336,248.04,0.7388690476190476,84.22619047619048,5,4,1.17,0.334854,78.78787878787877,24.0,5,1.488095238095238,0,100.0,17
CUST009,Harry Bell,Manchester,Semi-Detached,336,246.17,0.7337202380952381,80.05952380952381,4,1,0.78,0.22323600000000002,61.111111111111114,14.3,1,1.1904761904761905,3,25.0,13
CUST002,Mr Guy Parsons,Bristol,Detached,336,255.4,0.7650595238095238,80.35714285714286,5,2,1.0999999999999999,0.31482,78.78787878787877,16.8,4,1.488095238095238,1,80.0,13
CUST003,Joel Jackson,Manchester,Detached,336,256.42,0.7608630952380953,79.76190476190477,4,1,0.8300000000000001,0.23754600000000003,67.5,6.6,2,1.1904761904761905,2,50.0,11
CUST007,Mr Hugh Stephenson,London,Detached,336,249.19,0.7461904761904762,80.35714285714286,3,1,0.5700000000000001,0.163134,51.61290322580645,14.8,1,0.8928571428571428,2,33.33333333333333,10
CUST010,Laura Richardson,Leeds,Detached,336,243.25,0.7360119047619048,80.65476190476191,4,2,0.8400000000000001,0.24040800000000004,54.28571428571431,13.9,4,1.1904761904761905,0,100.0,10
CUST016,Miss Sian Hughes,Glasgow,Flat,336,252.92,0.7603571428571428,77.97619047619048,3,2,0.56,0.16027200000000003,51.428571428571445,23.2,3,0.8928571428571428,0,100.0,9
CUST019,Abigail Jordan,London,Detached,336,249.73,0.7441369047619047,77.97619047619048,4,1,0.87,0.248994,93.54838709677418,16.700000000000003,4,1.1904761904761905,0,100.0,7
CUST017,Molly Fisher,Bristol,Detached,336,250.89,0.7440178571428572,82.73809523809523,2,0,0.4,0.11448,48.57142857142858,5.2,1,0.5952380952380952,1,50.0,4
